href,title,topicLv2Key,topicLv2Label,to_topicLv3Key,to_topicLv3Label,reason
thu-vien/huong-dan-lap-bao-cao-tinh-hinh-su-dung-hoa-don-theo-quy.html,Cách lập báo cáo tình hình sử dụng hóa đơn theo quý - Tháng,gtgt-hoa-don,GTGT - Hóa đơn,bao-cao-bang-ke,Báo cáo/Bảng kê,rule-bangke
thu-vien/ke-khai-bo-sung-doi-voi-hoa-don-gtgt-dau-vao.html,Kê khai bổ sung đối với hóa đơn GTGT đầu vào,gtgt-hoa-don,GTGT - Hóa đơn,ke-khai-gtgt,Kê khai GTGT,rule-kekhai
thu-vien/ke-khai-chi-tieu-37-va-38-tren-to-khai-thue-01-gtgt.html,Cách kê khai chỉ tiêu 37 và 38 trên tờ khai thuế GTGT,gtgt-hoa-don,GTGT - Hóa đơn,ke-khai-gtgt,Kê khai GTGT,rule-kekhai
thu-vien/ke-khai-thue-gtgt-cho-chi-nhanh-hach-toan-doc-lap-nhu-the-nao.html,Kê khai thuế GTGT cho chi nhánh hạch toán độc lập như thế nào,gtgt-hoa-don,GTGT - Hóa đơn,ke-khai-gtgt,Kê khai GTGT,rule-kekhai
thu-vien/khach-mua-hang-khong-lay-hoa-don-gtgt-ca-ch-xu-ly.html,Khách hàng không lấy hóa đơn GTGT – Cách viết hóa đơn,gtgt-hoa-don,GTGT - Hóa đơn,lap-xu-ly-hoa-don,Lập/Xử lý hóa đơn,rule-laphoadon
thu-vien/khong-can-phai-nop-mau-06-gtgt-dang-ky-pp-khau-tru.html,Không cần phải nộp mẫu 06/GTGT đăng ký pp khấu trừ,gtgt-hoa-don,GTGT - Hóa đơn,khau-tru-hoan-thue,Khấu trừ/Hoàn thuế,rule-khautru
thu-vien/lap-hoa-don-dien-tu-co-ma-cua-co-quan-thue.html,Quy trình lập và cấp mã cho hóa đơn điện tử có mã của cơ quan thuế,gtgt-hoa-don,GTGT - Hóa đơn,hoa-don-dien-tu,Hóa đơn điện tử,rule-hddt
thu-vien/lich-nop-cac-loai-bao-cao-thue-moi-nhat-hien-nay.html,Lịch nộp các loại báo cáo thuế năm 2026 mới nhất,gtgt-hoa-don,GTGT - Hóa đơn,lap-xu-ly-hoa-don,Lập/Xử lý hóa đơn,fallback-laphoadon
thu-vien/luu-tru-hoa-don-dien-tu-chung-tu-dien-tu.html,"Lưu trữ hóa đơn điện tử, chứng từ điện tử theo NĐ 123",gtgt-hoa-don,GTGT - Hóa đơn,hoa-don-dien-tu,Hóa đơn điện tử,rule-hddt
thu-vien/ma-chuong-ma-noi-dung-kinh-te-tren-giay-nop-tien-vao-ngan-sach.html,"Cách điền Mã chương nộp thuế, mã Tiểu mục nộp thuế",gtgt-hoa-don,GTGT - Hóa đơn,lap-xu-ly-hoa-don,Lập/Xử lý hóa đơn,fallback-laphoadon
thu-vien/ma-chuong-ma-tieu-muc-nop-thue-tncn-thue-gtgt-thue-tndn.html,"Danh sách mã chương, mã tiểu mục nộp thuế mới nhất năm 2026",gtgt-hoa-don,GTGT - Hóa đơn,lap-xu-ly-hoa-don,Lập/Xử lý hóa đơn,fallback-laphoadon
thu-vien/mat-hoa-don-bi-cuop-giat-co-xac-nhan-se-khong-xu-phat.html,Mất hóa đơn bị cướp giật có xác nhận sẽ không xử phạt,gtgt-hoa-don,GTGT - Hóa đơn,lap-xu-ly-hoa-don,Lập/Xử lý hóa đơn,rule-laphoadon
thu-vien/muc-phat-cham-nop-bao-cao-su-dung-hoa-don.html,Mức phạt chậm nộp Báo cáo tình hình sử dụng hóa đơn,gtgt-hoa-don,GTGT - Hóa đơn,bao-cao-bang-ke,Báo cáo/Bảng kê,rule-bangke
thu-vien/muc-phat-cham-nop-thong-bao-phat-hanh-hoa-don.html,Mức phạt hóa đơn chưa thông báo phát hành đã sử dụng,gtgt-hoa-don,GTGT - Hóa đơn,lap-xu-ly-hoa-don,Lập/Xử lý hóa đơn,fallback-laphoadon
thu-vien/muc-phat-cham-nop-tien-thue-gtgt-tncn-tndn-mon-bai.html,"Cách tính tiền phạt chậm nộp tiền thuế GTGT, TNCN, TNDN 2026",gtgt-hoa-don,GTGT - Hóa đơn,lap-xu-ly-hoa-don,Lập/Xử lý hóa đơn,fallback-laphoadon
thu-vien/muc-phat-ke-khai-sai-thue-gtgt-tncn-tndn.html,"Mức phạt kê khai sai thuế GTGT, TNCN, TNDN theo NĐ 125",gtgt-hoa-don,GTGT - Hóa đơn,ke-khai-gtgt,Kê khai GTGT,rule-kekhai
thu-vien/muc-phat-khi-lam-mat-hoa-don-gtgt.html,Mức phạt mất hóa đơn GTGT đầu ra - đầu vào,gtgt-hoa-don,GTGT - Hóa đơn,lap-xu-ly-hoa-don,Lập/Xử lý hóa đơn,rule-laphoadon
