href,title,topicLv1Key,topicLv1Label,topicLv2Key,topicLv2Label,planned_to_topicLv3Key,planned_to_topicLv3Label,actual_to_topicLv3Key,actual_to_topicLv3Label,status
thu-vien/cong-van-huong-dan-quyet-toan-thue-tncn.html,Công văn hướng dẫn quyết toán thuế TNCN 2024 vào năm 2025,thue,Thuế - Hóa đơn,cong-van,Công văn,cong-van-tncn,Công văn TNCN,cong-van-tncn,Công văn TNCN,ok
thu-vien/cong-van-huong-dan-ve-thue-thu-nhap-ca-nhan.html,Các công văn hướng dẫn về thuế TNCN đáng chú ý nhất năm 2025,thue,Thuế - Hóa đơn,cong-van,Công văn,cong-van-tncn,Công văn TNCN,cong-van-tncn,Công văn TNCN,ok
thu-vien/cong-van-so-1685-tct-cs-quy-dinh-phu-cap-tien-dien-thoai-cho-nhan-vien.html,Công văn số 1685/TCT-CS quy định chi phí điện thoại cho nhân viên,thue,Thuế - Hóa đơn,cong-van,Công văn,cong-van-chinh-sach-chung,Công văn Chính sách chung,cong-van-chinh-sach-chung,Công văn Chính sách chung,ok
thu-vien/cong-van-so-17557-btc-tct-trien-khai-thuc-hien-luat-thue-gtgt.html,Công văn Số 17557/BTC-TCT triển khai thực hiện luật thuế GTGT,thue,Thuế - Hóa đơn,cong-van,Công văn,cong-van-gtgt-hoa-don,Công văn GTGT/Hóa đơn,cong-van-gtgt-hoa-don,Công văn GTGT/Hóa đơn,ok
thu-vien/cong-van-so-17963-btc-tct-tinh-thue-gtgt-theo-ty-le.html,Công văn số 17963/BTC-TCT tính thuế GTGT theo tỷ lệ %,thue,Thuế - Hóa đơn,cong-van,Công văn,cong-van-gtgt-hoa-don,Công văn GTGT/Hóa đơn,cong-van-gtgt-hoa-don,Công văn GTGT/Hóa đơn,ok
thu-vien/cong-van-so-18128-btc-tct-trien-khai-thuc-hien-luat-thue-gtgt.html,Công văn số 18128 /BTC-TCT triển khai thực hiện Luật thuế GTGT,thue,Thuế - Hóa đơn,cong-van,Công văn,cong-van-gtgt-hoa-don,Công văn GTGT/Hóa đơn,cong-van-gtgt-hoa-don,Công văn GTGT/Hóa đơn,ok
thu-vien/cong-van-so-1839-tct-cs-nhung-noi-dung-moi-cua-tt-39.html,Công văn số 1839/TCT–CS Những nội dung mới của TT 39,thue,Thuế - Hóa đơn,cong-van,Công văn,cong-van-chinh-sach-chung,Công văn Chính sách chung,cong-van-chinh-sach-chung,Công văn Chính sách chung,ok
thu-vien/cong-van-so-431-tct-tvqt-quy-dinh-hoa-don-ban-hang.html,Công văn số 431/TCT-TVQT ngày 14/2/2014 về quản lý và sử dụng hóa đơn (bán hàng),thue,Thuế - Hóa đơn,cong-van,Công văn,cong-van-gtgt-hoa-don,Công văn GTGT/Hóa đơn,cong-van-gtgt-hoa-don,Công văn GTGT/Hóa đơn,ok
thu-vien/cong-van-so-4716-tct-cs-gioi-thieu-noi-dung-thong-tu-151-2014-tt-btc.html,Công văn Số 4716/TCT-CS giới thiệu nội dung Thông tư 151/2014/TT-BTC,thue,Thuế - Hóa đơn,cong-van,Công văn,cong-van-tndn,Công văn TNDN,cong-van-tndn,Công văn TNDN,ok
thu-vien/cong-van-so-586-tct-cs-tuyen-truyen-chinh-sach-thue-gtgt.html,Công văn số 586/TCT-CS tuyên truyền chính sách thuế GTGT,thue,Thuế - Hóa đơn,cong-van,Công văn,cong-van-gtgt-hoa-don,Công văn GTGT/Hóa đơn,cong-van-gtgt-hoa-don,Công văn GTGT/Hóa đơn,ok
thu-vien/cong-van-so-7527-btc-tct-thanh-tra-kiem-tra-thue-cac-dn.html,"Công văn Số 7527/BTC-TCT thanh tra, kiểm tra thuế đối với các doanh nghiệp",thue,Thuế - Hóa đơn,cong-van,Công văn,cong-van-ke-khai-quan-ly-thue,Công văn Kê khai/Quản lý thuế,cong-van-ke-khai-quan-ly-thue,Công văn Kê khai/Quản lý thuế,ok
thu-vien/cong-van-so-7924-btc-tchq-lam-thu-tuc-xuat-khau-quyet-toan-thue.html,"Công văn Số 7924/BTC-TCHQ làm thủ tục xuất khẩu, quyết toán thuế",thue,Thuế - Hóa đơn,cong-van,Công văn,cong-van-ke-khai-quan-ly-thue,Công văn Kê khai/Quản lý thuế,cong-van-ke-khai-quan-ly-thue,Công văn Kê khai/Quản lý thuế,ok
thu-vien/cong-van-so-9531-ct-thnvdt-tinh-thue-gtgt-theo-phuong-phap-truc-tiep.html,Công văn số 9531/CT-THNVDT tính thuế GTGT theo phương pháp trực tiếp,thue,Thuế - Hóa đơn,cong-van,Công văn,cong-van-gtgt-hoa-don,Công văn GTGT/Hóa đơn,cong-van-gtgt-hoa-don,Công văn GTGT/Hóa đơn,ok
thu-vien/cong-van-xin-huy-to-khai-thue-cho-thue-tai-san.html,Mẫu công văn xin hủy tờ khai thuế cho thuê tài sản mới nhất năm 2026,thue,Thuế - Hóa đơn,cong-van,Công văn,cong-van-ke-khai-quan-ly-thue,Công văn Kê khai/Quản lý thuế,cong-van-ke-khai-quan-ly-thue,Công văn Kê khai/Quản lý thuế,ok
